N2_id,X,Y,cost_mean,cost_max
8845,896815.93,6271750.646,1,1
8846,896832.94,6271747.373,517.142857142857,1000
8847,896849.95,6271744.099,91.5714285714286,300
8848,896866.96,6271740.825,617.142857142857,1000
8849,896883.97,6271737.552,134.285714285714,300
8850,896900.98,6271734.278,334.285714285714,1000
8851,896917.99,6271731.005,800,1000
8852,896935,6271727.731,615.714285714286,800
8853,896952.01,6271724.457,800,800
8854,896969.02,6271721.184,164.285714285714,800
8855,896986.03,6271717.91,186.428571428571,1000
8856,897003.04,6271714.637,474.428571428571,1000
8857,897020.05,6271711.363,217.142857142857,300
8858,897037.06,6271708.09,300,300
8859,897054.07,6271704.816,401.428571428571,800
8860,897071.08,6271701.542,800,800
8861,897088.09,6271698.269,574.285714285714,800
9139,896702.53,6271803.023,500,1000
9140,896719.54,6271799.75,10,10
9141,896736.55,6271796.476,657.142857142857,800
9142,896753.56,6271793.203,401.428571428571,800
9143,896770.57,6271789.929,521.428571428571,800
9144,896787.58,6271786.655,442.857142857143,800
9145,896804.59,6271783.382,300,300
9146,896821.6,6271780.108,258.571428571429,300
9147,896838.61,6271776.835,290.285714285714,1000
9148,896855.62,6271773.561,400,1000
9149,896872.63,6271770.288,358.571428571429,1000
9150,896889.64,6271767.014,175.714285714286,300
9151,896906.65,6271763.74,800,1000
9152,896923.66,6271760.467,431.428571428571,800
9153,896940.67,6271757.193,687.142857142857,800
9154,896957.68,6271753.92,334.285714285714,1000
9155,896974.69,6271750.646,300,300
9156,896991.7,6271747.373,175.714285714286,300
9157,897008.71,6271744.099,375.714285714286,1000
9158,897025.72,6271740.825,700,1000
9159,897042.73,6271737.552,400,1000
9160,897059.74,6271734.278,317.142857142857,1000
9161,897076.75,6271731.005,134.285714285714,300
9162,897093.76,6271727.731,217.142857142857,300
9163,897110.77,6271724.457,431.428571428571,800
9164,897127.78,6271721.184,687.142857142857,800
9165,897144.79,6271717.91,547.142857142857,1000
9166,897161.8,6271714.637,558.571428571429,1000
9167,897178.81,6271711.363,292.857142857143,1000
9168,897195.82,6271708.09,377.142857142857,1000
9169,897212.83,6271704.816,518.571428571429,1000
