Site	AGUSou	AIGPou	AIGSou	ARTLau	AUDCar	AUDFar	AUDFou	AUDNen	AUDPuy	AUDSer	BRUMij	BRUUss	CAMSau	QUEMas	QUERia
AGUSou															
AIGPou	15133														
AIGSou	23631	4185													
ARTLau	13855	27508	36006												
AUDCar	9035	22688	31186	12074											
AUDFar	4188	17841	26339	9667	4847										
AUDFou	3438	11695	20193	15813	10993	6146									
AUDNen	12063	4904	8498	24438	19618	14771	8625								
AUDPuy	18471	32124	40622	21510	9436	14283	20429	29054							
AUDSer	8050	7083	15581	20425	15605	10758	4612	4013	25041						
BRUMij	9433	23086	31584	9828	7652	5245	11391	20016	17088	16003					
BRUUss	5823	19476	27974	8032	4042	1635	7781	16406	13478	12393	3610				
CAMSau	3944	17597	26095	10629	5809	962	5902	14527	15245	10514	6207	2597			
QUEMas	10531	24184	32682	9150	8750	6343	12489	21114	18186	17101	6504	4708	7305		
QUERia	7618	21271	29769	6237	5837	3430	9576	18201	15273	14188	3591	1795	4392	2913	
