Site	COULar	LABCas	NGAVga	NOOAst	NOOCas	NOOEsp	NOOLac	NOOSav	NOOTre	NOOVoo	NOUBoo	NOUCir	NOUMay	NOUSpo	ONEBag
COULar															
LABCas	3962														
NGAVga	4305	2175													
NOOAst	4624	6098	6441												
NOOCas	3369	593	1582	5505											
NOOEsp	3425	4899	5242	1199	4306										
NOOLac	5210	6684	7027	586	6091	1785									
NOOSav	4989	1428	3202	7125	1620	5926	7711								
NOOTre	6715	3154	4928	8851	3346	7652	9437	1726							
NOOVoo	1684	2278	2621	3820	1685	2621	4406	3305	5031						
NOUBoo	15846	12285	14059	17982	12477	16783	18568	10857	9706	14162					
NOUCir	13796	10235	12009	15932	10427	14733	16518	8807	7656	12112	2050				
NOUMay	11536	7975	9749	13672	8167	12473	14258	6547	5396	9852	4310	2260			
NOUSpo	9474	4485	7687	11610	6105	10411	12196	4485	3334	7790	6372	4322	2062		
ONEBag	8334	4773	6547	10470	4965	9271	11056	3345	1619	6650	11325	9275	7015	4953	
