Site	BUIPie	CLATou	LAVRiv	LAVSuc	PONAmo	PONBom	PONCha	PONTet	PONTis	SERSau	SEUCch	SEUCou	SEUCro	SEUFag	SEURod	SEUSau
BUIPie																
CLATou	7512															
LAVRiv	22129	15175														
LAVSuc	18749	11795	3380													
PONAmo	23426	16472	9759	6379												
PONBom	28647	21693	14980	11600	5221											
PONCha	17057	10103	5072	1692	6369	11590										
PONTet	31691	24737	18024	14644	8265	3044	14634									
PONTis	20785	13831	7118	3738	2641	7862	3728	10906								
SERSau	23237	16283	9570	6190	3470	8691	6180	11735	2452							
SEUCch	4784	9168	23785	20405	25082	30303	18713	33347	22441	24893						
SEUCou	9615	2661	12514	9134	13811	19032	7442	22076	11170	13622	11271					
SEUCro	11799	4845	10330	6950	11627	16848	5258	19892	8986	11438	13455	2184				
SEUFag	3023	4489	19106	15726	20403	25624	14034	28668	17762	20214	4679	6592	8776			
SEURod	17095	10141	7540	4160	8837	14058	2468	17102	6196	8648	18751	7480	5296	14072		
SEUSau	15118	8164	7011	3631	8308	13529	1939	16573	5667	8119	16774	5503	3319	12095	1977	
