GenetIsoAude	AGUSou	AIGPou	AIGSou	ARTLau	AUDCar	AUDFar	AUDFou	AUDNen	AUDPuy	AUDSer	BRUMij	BRUUss	CAMSau	QUEMas	QUERia
AGUSou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIGPou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIGSou	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARTLau	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AUDCar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUDFar	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AUDFou	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
AUDNen	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUDPuy	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0
AUDSer	1	4	4	2	0	0	1	0	0	0	0	0	0	0	0
BRUMij	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0
BRUUss	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
CAMSau	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
QUEMas	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
QUERia	0	0	0	0	0	0	0	7	1	3	0	5	0	0	0
