GenetIsoSeuge	BUIPie	CLATou	LAVRiv	LAVSuc	PONAmo	PONBom	PONCha	PONTet	PONTis	SERSau	SEUCch	SEUCou	SEUCro	SEUFag	SEURod	SEUSau
BUIPie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLATou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAVRiv	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAVSuc	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
PONAmo	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PONBom	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
PONCha	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PONTet	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PONTis	0	0	0	3	1	2	4	0	0	0	0	0	0	0	0	0
SERSau	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0
SEUCch	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEUCou	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
SEUCro	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEUFag	0	0	0	0	3	3	0	0	0	2	8	0	0	0	0	0
SEURod	0	0	0	0	0	0	8	0	4	0	0	2	0	0	0	0
SEUSau	0	0	0	0	0	0	5	0	0	0	0	2	0	0	17	0
