Site	AGUSou	AIGPou	AIGSou	ARTLau	AUDCar	AUDFar	AUDFou	AUDNen	AUDPuy	AUDSer	BRUMij	BRUUss	CAMSau	QUEMas	QUERia
AGUSou	0														
AIGPou	2	0													
AIGSou	2	0	0												
ARTLau	5	7	7	0											
AUDCar	4	5	5	4	0										
AUDFar	3	3	3	4	1	0									
AUDFou	5	2	2	5	3	1	0								
AUDNen	7	0	0	7	5	3	2	0							
AUDPuy	5	6	6	5	1	3	4	6	0						
AUDSer	7	0	0	7	5	3	2	0	6	0					
BRUMij	6	7	7	6	4	4	5	7	5	7	0				
BRUUss	3	4	4	3	1	1	2	4	2	4	3	0			
CAMSau	4	3	3	4	2	0	3	3	3	3	4	1	0		
QUEMas	4	7	7	3	4	4	3	7	5	7	6	3	4	0	
QUERia	2	5	5	2	2	2	5	5	3	5	4	1	2	2	0
