Site	COULar	LABCas	NGAVga	NOOAst	NOOCas	NOOEsp	NOOLac	NOOSav	NOOTre	NOOVoo	NOUBoo	NOUCir	NOUMay	NOUSpo	ONEBag
COULar	0														
LABCas	0	0													
NGAVga	2	2	0												
NOOAst	1	1	3	0											
NOOCas	0	0	2	1	0										
NOOEsp	1	1	3	0	1	0									
NOOLac	1	1	3	0	1	0	0								
NOOSav	0	0	2	1	0	1	1	0							
NOOTre	1	1	3	2	1	2	2	1	0						
NOOVoo	0	0	2	1	0	1	1	0	1	0					
NOUBoo	1	1	3	2	1	2	2	1	0	1	0				
NOUCir	1	1	3	2	1	2	2	1	0	1	0	0			
NOUMay	1	1	3	2	1	2	2	1	0	1	0	0	0		
NOUSpo	1	1	3	2	1	2	2	1	0	1	0	0	0	0	
ONEBag	2	2	4	3	2	3	3	2	1	2	1	1	1	1	0
