Site	BUIPie	CLATou	LAVRiv	LAVSuc	PONAmo	PONBom	PONCha	PONTet	PONTis	SERSau	SEUCch	SEUCou	SEUCro	SEUFag	SEURod	SEUSau
BUIPie	0															
CLATou	3	0														
LAVRiv	9	6	0													
LAVSuc	9	6	0	0												
PONAmo	10	7	1	1	0											
PONBom	10	7	1	1	0	0										
PONCha	8	5	1	1	2	2	0									
PONTet	10	7	1	1	0	0	2	0								
PONTis	9	6	0	0	1	1	1	1	0							
SERSau	10	5	1	1	0	0	2	0	1	0						
SEUCch	0	3	9	9	10	10	8	10	9	10	0					
SEUCou	5	2	4	4	5	5	3	5	4	5	5	0				
SEUCro	6	3	3	3	4	4	2	4	3	4	6	1	0			
SEUFag	1	2	8	8	9	9	7	9	8	9	1	4	5	0		
SEURod	9	7	2	2	3	3	1	3	2	3	9	4	3	8	0	
SEUSau	7	5	2	2	3	3	1	3	2	3	7	2	1	6	2	0
