id,name,category,x,y,weight
1,"marseilleveyre","massif",891794.6546,6239665.5566,10
2,"marseilleveyre","massif",892687.3492,6240187.6471,10
3,"marseilleveyre","massif",893930.8551,6240331.6837,10
4,"marseilleveyre","massif",894780.7413,6240343.1686,10
5,"marseilleveyre","massif",895010.4402,6239114.2791,10
6,"marseilleveyre","massif",895883.2963,6239872.2857,10
7,"marseilleveyre","massif",896296.7545,6238907.55,10
8,"marseilleveyre","massif",896549.4234,6239619.6168,10
9,"marseilleveyre","massif",896457.5438,6241135.6301,10
10,"marseilleveyre","massif",897511.8621,6241284.9344,10
11,"marseilleveyre","massif",897626.7115,6242065.9109,10
12,"marseilleveyre","massif",897270.6781,6243145.4961,10
13,"marseilleveyre","massif",897844.9256,6244156.1716,10
14,"marseilleveyre","massif",898522.5375,6244845.2685,10
15,"marseilleveyre","massif",899303.5141,6245476.9407,10
16,"marseilleveyre","massif",900619.6892,6245831.8256,10
17,"marseilleveyre","massif",902043.8228,6245544.7019,10
18,"marseilleveyre","massif",903334.731,6244706.3006,10
19,"etoile","massif",904552.1356,6248898.3069,10
20,"etoile","massif",903173.9418,6250253.5308,10
21,"etoile","massif",902565.2395,6250873.718,10
22,"etoile","massif",902105.8415,6251505.3902,10
23,"etoile","massif",901864.6576,6252366.7614,10
24,"etoile","massif",902645.6341,6253078.8282,10
25,"etoile","massif",902289.6007,6253963.1692,10
26,"etoile","massif",902324.0556,6255146.1189,10
27,"etoile","massif",901646.4436,6255215.0286,10
28,"etoile","massif",900595.6138,6254531.3777,10
29,"etoile","massif",899280.5442,6254548.9016,10
30,"etoile","massif",897429.1704,6254663.7511,10
31,"etoile","massif",896234.7358,6254123.9585,10
32,"etoile","massif",895026.5192,6253320.0121,10
33,"etoile","massif",894257.0276,6253687.5305,10
34,"etoile","massif",893636.8404,6253457.8315,10
35,"etoile","massif",892809.9241,6253630.1057,10
36,"etoile","massif",892541.1763,6255192.0587,10
37,"etoile","massif",892752.8326,6255968.1806,10
38,"estaque","massif",889486.1799,6255249.4835,10
39,"estaque","massif",888452.5345,6254778.6006,10
40,"estaque","massif",887935.7119,6254675.2361,10
41,"estaque","massif",887522.2537,6255467.6975,10
42,"estaque","massif",886624.1307,6254755.6307,10
43,"friche","friche",898049.257386,6244967.85902,0.1
44,"friche","friche",892169.588626,6245093.82956,0.1
45,"friche","friche",901645.466558,6247686.2406,0.1
46,"friche","friche",895305.329021,6252974.91374,0.1
47,"friche","friche",890993.37104,6253728.53206,0.1
48,"friche","friche",898478.300613,6252925.55769,0.1
49,"friche","friche",895901.738431,6253920.15779,0.1
50,"friche","friche",897200.104002,6253609.10993,0.1
51,"friche","friche",899260.221967,6252858.94686,0.1
52,"friche","friche",903788.102028,6247286.55409,0.1
53,"friche","friche",900212.393879,6245527.07644,0.1
54,"friche","friche",895558.97371,6250839.08465,0.1
55,"friche","friche",896406.288742,6252451.46675,0.1
56,"friche","friche",903260.733409,6247993.88686,0.1
57,"friche","friche",903481.071627,6248539.65779,0.1
58,"friche","friche",894158.647918,6241004.37405,0.1
59,"friche","friche",894359.909918,6250749.76388,0.1
60,"friche","friche",901959.741239,6250314.10635,0.1
61,"friche","friche",896259.788902,6247501.29109,0.1
62,"friche","friche",896195.599012,6239483.21781,0.1
63,"friche","friche",901763.639246,6248361.94013,0.1
64,"friche","friche",899076.102573,6253026.67492,0.1
65,"friche","friche",894229.253219,6252411.02256,0.1
66,"friche","friche",895444.252593,6243478.33169,0.1
67,"friche","friche",897882.476093,6244654.35959,0.1
68,"friche","friche",891349.260559,6253653.06518,0.1
69,"friche","friche",899962.697122,6251047.65003,0.1
70,"friche","friche",895228.772686,6247124.16485,0.1
71,"friche","friche",899756.370706,6251531.35836,0.1
72,"friche","friche",890859.899918,6255949.77521,0.1
73,"friche","friche",895173.885557,6251544.95982,0.1
74,"friche","friche",894629.954163,6242833.63254,0.1
75,"friche","friche",900153.447944,6248867.13081,0.1
76,"friche","friche",897286.651266,6247185.55502,0.1
77,"friche","friche",891058.394083,6254734.27304,0.1
78,"friche","friche",899366.921371,6252272.82686,0.1
79,"friche","friche",901228.737791,6252522.53759,0.1
80,"friche","friche",903458.174901,6247335.18969,0.1
81,"friche","friche",892999.499137,6251972.58007,0.1
82,"friche","friche",894045.346245,6241639.03481,0.1
83,"friche","friche",891372.316585,6254184.23642,0.1
84,"friche","friche",895159.141107,6243734.53155,0.1
85,"friche","friche",900195.436413,6248526.49579,0.1
86,"friche","friche",893836.685576,6241379.32719,0.1
87,"friche","friche",899649.605725,6253734.50259,0.1
88,"friche","friche",899652.335177,6251059.14632,0.1
89,"friche","friche",897160.504573,6246829.60693,0.1
90,"friche","friche",894425.173547,6243088.4048,0.1
91,"friche","friche",898360.841917,6249231.8904,0.1
92,"friche","friche",889937.393087,6253286.44793,0.1
93,"friche","friche",891002.312936,6251528.71476,0.1
94,"friche","friche",899880.961686,6253206.06403,0.1
95,"friche","friche",893031.990519,6248778.50648,0.1
96,"friche","friche",892863.168841,6243704.30244,0.1
97,"friche","friche",896109.477038,6249277.96037,0.1
98,"friche","friche",902703.568144,6248219.20387,0.1
99,"friche","friche",895480.572935,6240498.71938,0.1
100,"friche","friche",896872.422317,6246748.92478,0.1
101,"friche","friche",891403.83074,6256300.91901,0.1
102,"friche","friche",899303.860205,6247252.01376,0.1
103,"friche","friche",902698.102681,6245559.00984,0.1
104,"friche","friche",893008.432471,6243859.23643,0.1
105,"friche","friche",901201.9164,6245919.34101,0.1
106,"friche","friche",897212.536548,6242747.6661,0.1
107,"friche","friche",894753.446806,6244610.45752,0.1
108,"friche","friche",887648.849145,6254456.91216,0.1
109,"friche","friche",893666.891002,6241788.37078,0.1
110,"friche","friche",904487.15407,6247481.63912,0.1
111,"friche","friche",893249.376196,6244927.33537,0.1
112,"friche","friche",890902.856883,6251833.13965,0.1
113,"friche","friche",897301.189357,6241601.12686,0.1
114,"friche","friche",896872.287027,6241591.50827,0.1
115,"friche","friche",899255.608809,6249530.40853,0.1
116,"friche","friche",898124.606149,6244481.04247,0.1
117,"friche","friche",892125.074522,6252673.26551,0.1
118,"friche","friche",900042.844686,6252613.76785,0.1
119,"friche","friche",886976.238258,6254301.91973,0.1
120,"friche","friche",895718.546998,6244097.6688,0.1
121,"friche","friche",893234.144774,6241669.19422,0.1
122,"friche","friche",890514.366965,6255840.15585,0.1
123,"friche","friche",899609.381177,6248587.594,0.1
124,"friche","friche",902906.795799,6245824.4518,0.1
125,"friche","friche",898953.905775,6250419.49028,0.1
126,"friche","friche",897464.032672,6248934.06859,0.1
127,"friche","friche",893738.786216,6248462.71416,0.1
128,"friche","friche",896488.448738,6248556.28103,0.1
129,"friche","friche",892584.506651,6252745.95311,0.1
130,"friche","friche",898797.998941,6249686.68796,0.1
131,"friche","friche",894752.315251,6249762.87518,0.1
132,"friche","friche",898623.235333,6252399.04491,0.1
133,"friche","friche",893063.581859,6243721.4099,0.1
134,"friche","friche",898135.828325,6253977.6403,0.1
135,"friche","friche",893879.117507,6247855.60544,0.1
136,"friche","friche",902162.415869,6248296.57927,0.1
137,"friche","friche",897023.281028,6251021.45205,0.1
138,"friche","friche",900263.76519,6246510.95303,0.1
139,"friche","friche",894787.053053,6242669.58301,0.1
140,"friche","friche",895881.163532,6251977.73514,0.1
