OBJECTID_1,Nom_du_sit,category,x,y,area,price,dist_center,price_rel,prob_destr,area2
1,"marseilleveyre","massif",891794.6546,6239665.5566,10,4121,6967.81884766,2.59182389937107,0,10
2,"marseilleveyre","massif",892687.3492,6240187.6471,10,4121,6536.76513672,2.59182389937107,0,10
3,"marseilleveyre","massif",893930.8551,6240331.6837,10,4121,6763.25341797,2.59182389937107,0,10
4,"marseilleveyre","massif",894780.7413,6240343.1686,10,2791,7085.40039063,1.75534591194969,0,10
5,"marseilleveyre","massif",895010.4402,6239114.2791,10,2791,8293.46777344,1.75534591194969,0,10
6,"marseilleveyre","massif",895883.2963,6239872.2857,10,2791,8062.91503906,1.75534591194969,0,10
7,"marseilleveyre","massif",896296.7545,6238907.55,10,2791,9097.96679688,1.75534591194969,0,10
8,"marseilleveyre","massif",896549.4234,6239619.6168,10,2791,8635.10253906,1.75534591194969,0,10
9,"marseilleveyre","massif",896457.5438,6241135.6301,10,2791,7412.18603516,1.75534591194969,0,10
10,"marseilleveyre","massif",897511.8621,6241284.9344,10,2791,8054.59472656,1.75534591194969,0,10
11,"marseilleveyre","massif",897626.7115,6242065.9109,10,2791,7656.11523438,1.75534591194969,0,10
12,"marseilleveyre","massif",897270.6781,6243145.4961,10,2791,6755.33105469,1.75534591194969,0,10
13,"marseilleveyre","massif",897844.9256,6244156.1716,10,2096,6819.17871094,1.31823899371069,0,10
14,"marseilleveyre","massif",898522.5375,6244845.2685,10,2096,7268.79638672,1.31823899371069,0,10
15,"marseilleveyre","massif",899303.5141,6245476.9407,10,2473,7912.55322266,1.55534591194969,0,10
16,"marseilleveyre","massif",900619.6892,6245831.8256,10,2473,9183.18554688,1.55534591194969,0,10
17,"marseilleveyre","massif",902043.8228,6245544.7019,10,2473,10615.0839844,1.55534591194969,0,10
18,"marseilleveyre","massif",903334.731,6244706.3006,10,2473,12004.5371094,1.55534591194969,0,10
19,"etoile","massif",904552.1356,6248898.3069,10,2473,13277.2285156,1.55534591194969,0,10
