center percent_arcs nb_vars nb_constraints nb_elems nb_vars_contract nb_constraints_contract nb_elems_contract 
7162 0 1129500 250000 2258500 500 500 500
7162 5 1185612 306001 2482612 64638 48676 169398
7162 10 1242225 362501 2708725 138578 102942 366061
7162 15 1298838 419001 2934838 207220 143455 539276
7162 20 1355451 475501 3160951 264667 185299 701577
7162 25 1412064 532001 3387064 352104 247065 952080
7162 30 1468677 588501 3613177 425912 299667 1164811
7162 35 1525290 645001 3839290 466823 324662 1282284
7162 40 1581903 701501 4065403 534726 367061 1481507
7162 45 1638516 758001 4291516 602334 417813 1682828
7162 50 1695129 814501 4517629 676317 462668 1905295
7162 55 1751241 870501 4741741 744413 507267 2102597
7162 60 1807854 927001 4967854 839247 567045 2393884
7162 65 1864467 983501 5193967 907850 613788 2609349
7162 70 1921080 1040001 5420080 955488 649932 2765204
7162 75 1977693 1096501 5646193 1029178 698688 2992403
7162 80 2034306 1153001 5872306 1124359 759850 3295854
7162 85 2090919 1209501 6098419 1191292 806582 3515369
7162 90 2147532 1266001 6324532 1263902 857129 3751828
7162 95 2204145 1322501 6550645 1329515 900257 3961175
7162 100 2260758 1379001 6776758 1403674 950459 4205506
4464 0 1085500 250000 2170500 500 500 500
4464 5 1139608 304001 2386608 79260 54541 197110
4464 10 1194217 358501 2604717 188916 126799 479491
4464 15 1248325 412501 2820825 254266 167090 647239
4464 20 1302934 467001 3038934 348995 227297 898354
4464 25 1357042 521001 3255042 430407 280687 1129132
4464 30 1411651 575501 3473151 522791 338518 1392297
4464 35 1465759 629501 3689259 602767 387928 1619005
4464 40 1520368 684001 3907368 677937 437943 1849568
4464 45 1574476 738001 4123476 736650 473575 2019730
4464 50 1629085 792501 4341585 839494 544117 2340159
4464 55 1683193 846501 4557693 919065 593539 2590519
4464 60 1737802 901001 4775802 976545 635688 2769620
4464 65 1791910 955001 4991910 1064450 683168 3032038
4464 70 1846519 1009501 5210019 1146290 735163 3292985
4464 75 1900627 1063501 5426127 1202623 777090 3485261
4464 80 1955236 1118001 5644236 1299498 842301 3797696
4464 85 2009344 1172001 5860344 1369771 886056 4026226
4464 90 2063953 1226501 6078453 1439827 937390 4257751
4464 95 2118061 1280501 6294561 1515996 990703 4515729
4464 100 2172670 1335001 6512670 1593814 1045573 4776102
6441 0 1130500 250000 2260500 500 500 500
6441 5 1187113 306501 2486613 71838 49828 182955
6441 10 1243726 363001 2712726 117079 88814 315852
6441 15 1300339 419501 2938839 178727 130485 476197
6441 20 1356952 476001 3164952 247939 178620 663386
6441 25 1413565 532501 3391065 313761 226462 848849
6441 30 1470178 589001 3617178 393572 277480 1075806
6441 35 1526791 645501 3843291 455457 329471 1261431
6441 40 1583404 702001 4069404 515970 365251 1436582
6441 45 1640017 758501 4295517 583477 407964 1631323
6441 50 1696630 815001 4521630 625993 437643 1756988
6441 55 1753243 871501 4747743 702807 493860 1998147
6441 60 1809856 928001 4973856 780640 549407 2231492
6441 65 1866469 984501 5199969 848195 594195 2449093
6441 70 1923082 1041001 5426082 878912 613761 2547784
6441 75 1979695 1097501 5652195 980708 679570 2861525
6441 80 2036308 1154001 5878308 1026856 711655 3010468
6441 85 2092921 1210501 6104421 1100838 765312 3255385
6441 90 2149534 1267001 6330534 1187497 821925 3525884
6441 95 2206147 1323501 6556647 1231132 851484 3670037
6441 100 2262760 1380001 6782760 1307560 902401 3917160
2650 0 1032500 250000 2064500 500 500 500
2650 5 1084103 301501 2270603 52794 40862 140393
2650 10 1135706 353001 2476706 100814 78703 270590
2650 15 1187309 404501 2682809 156718 116727 421501
2650 20 1238912 456001 2888912 221284 163808 595398
2650 25 1291016 508001 3097016 245620 186767 675060
2650 30 1342619 559501 3303119 328469 251031 912375
2650 35 1394222 611001 3509222 396953 293165 1106000
2650 40 1445825 662501 3715325 431946 320687 1209019
2650 45 1497428 714001 3921428 516330 378035 1456510
2650 50 1549532 766001 4129532 561031 410035 1582496
2650 55 1601135 817501 4335635 600960 445289 1716821
2650 60 1652738 869001 4541738 643448 475386 1847756
2650 65 1704341 920501 4747841 713072 524344 2065197
2650 70 1755944 972001 4953944 786877 575218 2289088
2650 75 1808048 1024001 5162048 827844 604817 2423986
2650 80 1859651 1075501 5368151 870109 633959 2559243
2650 85 1911254 1127001 5574254 939353 680965 2768434
2650 90 1962857 1178501 5780357 996132 725416 2960505
2650 95 2014460 1230001 5986460 1042771 757165 3106352
2650 100 2066564 1282001 6194564 1095514 796476 3281414
542 0 985500 250000 1970500 500 500 500
542 5 1034598 299001 2166598 95448 62877 232290
542 10 1084197 348501 2364697 188847 124310 469377
542 15 1133295 397501 2560795 271720 178615 685053
542 20 1182894 447001 2758894 353089 224797 903542
542 25 1231992 496001 2954992 401364 262473 1047972
542 30 1281591 545501 3153091 505187 324727 1329381
542 35 1330689 594501 3349189 592264 378105 1576797
542 40 1380288 644001 3547288 665137 419575 1789202
542 45 1429386 693001 3743386 716746 466462 1965352
542 50 1478985 742501 3941485 812326 520097 2240623
542 55 1528083 791501 4137583 888610 568939 2474829
542 60 1577682 841001 4335682 962280 616737 2707024
542 65 1626780 890001 4531780 1035391 667191 2943594
542 70 1676379 939501 4729879 1110164 720711 3187337
542 75 1725477 988501 4925977 1196883 772593 3463463
542 80 1775076 1038001 5124076 1263002 819396 3681350
542 85 1824174 1087001 5320174 1351040 880853 3971666
542 90 1873773 1136501 5518273 1415925 928432 4191367
542 95 1922871 1185501 5714371 1484193 975294 4419975
542 100 1972470 1235001 5912470 1557380 1027456 4667200
