center percent_arcs nb_vars nb_constraints nb_entries nb_vars_contract nb_constraints_contract nb_entries_contract 
7162 0 1129500 250000 2258500 500 500 500
7162 5 1185612 306001 2482612 64638 48676 169398
7162 10 1241724 362001 2706724 138880 102779 365884
7162 15 1297836 418001 2930836 199284 147713 530590
7162 20 1353948 474001 3154948 260583 190931 698452
7162 25 1410060 530001 3379060 328592 236341 888164
7162 30 1466172 586001 3603172 394661 284003 1077408
7162 35 1522284 642001 3827284 468268 330292 1288164
7162 40 1578396 698001 4051396 541477 379776 1502818
7162 45 1634508 754001 4275508 606351 422590 1692102
7162 50 1690620 810001 4499620 685852 474056 1931308
7162 55 1746732 866001 4723732 764783 527128 2172628
7162 60 1802844 922001 4947844 834335 570853 2386522
7162 65 1858956 978001 5171956 892158 609753 2566706
7162 70 1915068 1034001 5396068 965754 654270 2791036
7162 75 1971180 1090001 5620180 1035122 700476 3011334
7162 80 2027292 1146001 5844292 1112515 752828 3257322
7162 85 2083404 1202001 6068404 1172212 793601 3453020
7162 90 2139516 1258001 6292516 1245447 841936 3688952
7162 95 2195628 1314001 6516628 1317946 890286 3925136
7162 100 2251740 1370001 6740740 1392166 942075 4168462
4464 0 1085500 250000 2170500 500 500 500
4464 5 1139608 304001 2386608 79260 54541 197110
4464 10 1193716 358001 2602716 159103 107606 400010
4464 15 1247824 412001 2818824 238002 161767 609188
4464 20 1301932 466001 3034932 324494 217191 837104
4464 25 1356040 520001 3251040 410287 271495 1072502
4464 30 1410148 574001 3467148 496542 324731 1312342
4464 35 1464256 628001 3683256 575050 371580 1535778
4464 40 1518364 682001 3899364 654584 418953 1765732
4464 45 1572472 736001 4115472 737317 468886 2012242
4464 50 1626580 790001 4331580 805504 516316 2225212
4464 55 1680688 844001 4547688 875310 564601 2446304
4464 60 1734796 898001 4763796 958419 619480 2706580
4464 65 1788904 952001 4979904 1047995 676371 2986598
4464 70 1843012 1006001 5196012 1130719 731082 3250950
4464 75 1897120 1060001 5412120 1205801 779783 3491592
4464 80 1951228 1114001 5628228 1286079 831079 3749570
4464 85 2005336 1168001 5844336 1366345 882636 4008986
4464 90 2059444 1222001 6060444 1439316 935367 4253890
4464 95 2113552 1276001 6276552 1512968 985676 4498902
4464 100 2167660 1330001 6492660 1586472 1040584 4751462
6441 0 1130500 250000 2260500 500 500 500
6441 5 1187113 306501 2486613 71838 49828 182955
6441 10 1243726 363001 2712726 131271 93259 343546
6441 15 1300339 419501 2938839 202022 144127 535249
