nb_friches solver time nb_vars nb_constraints 
10.000000 pl_eca_2_log=1_relaxed=0_timeout=3600 3094.444444 270623 13610 
10.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 161.777778 5443 3700 
20.000000 pl_eca_2_log=1_relaxed=0_timeout=3600 12246.333333 345775 18410 
20.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 316.444444 10716 7197 
30.000000 pl_eca_2_log=1_relaxed=0_timeout=3600 36019.888889 446973 23810 
30.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 678.222222 17611 11394 
40.000000 pl_eca_2_log=1_relaxed=0_timeout=3600 77326.888889 576713 29810 
40.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 1301.111111 25192 16225 
50.000000 pl_eca_2_log=1_relaxed=0_timeout=3600 142306.888889 717901 36410 
50.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 1964.000000 34613 21485 
60.000000 pl_eca_2_log=1_relaxed=0_timeout=3600 313265.444444 888269 43610 
60.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 4843.888889 46176 27767 
70.000000 pl_eca_2_log=1_relaxed=0_timeout=3600 827349.666667 1068105 51410 
70.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 7711.444444 60835 34768 
80.000000 pl_eca_2_log=1_relaxed=0_timeout=3600 1914478.444444 1306597 59810 
80.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 13141.555556 76281 42039 
