from,to,probability
0,1,0.6369915483775149
0,3,0.6611375105021056
0,4,0.7594685779342559
0,8,0.7126885351620706
1,0,0.6369915483775149
1,3,0.8098143694509271
1,5,0.6604198561213119
1,2,0.5961707322177543
2,1,0.5961707322177543
2,9,0.7150447172574466
3,0,0.6611375105021056
3,1,0.8098143694509271
3,5,0.908303304551837
3,6,0.9327277313212418
4,0,0.7594685779342559
4,6,0.9579002531328462
4,7,0.9536732562377208
5,1,0.6604198561213119
5,3,0.908303304551837
5,6,0.8942200448866238
5,9,0.9153406114133545
5,14,0.6350939244468828
6,3,0.9327277313212418
6,4,0.9579002531328462
6,5,0.8942200448866238
6,14,0.5760600966162397
6,18,0.479212096150953
7,4,0.9536732562377208
7,8,0.7261490370736909
7,10,0.9208463257496845
7,11,0.5850680863754312
8,0,0.7126885351620706
8,7,0.7261490370736909
8,11,0.6192189462287281
8,12,0.8510833982080713
8,13,0.7316814868017032
8,17,0.676277256473681
9,2,0.7150447172574466
9,5,0.9153406114133545
9,14,0.8287117086578764
9,15,0.7428052549996885
10,7,0.9208463257496845
10,11,0.8515461458060619
10,16,0.6852159989924685
10,18,0.8154443842175645
11,7,0.5850680863754312
11,8,0.6192189462287281
11,10,0.8515461458060619
11,13,0.8487316718156588
11,16,0.8673588453386383
12,8,0.8510833982080713
12,17,0.7749544886469559
13,8,0.7316814868017032
13,11,0.8487316718156588
13,16,0.7018660454328726
13,17,0.8717127694412842
13,19,0.7315644233792127
14,5,0.6350939244468828
14,6,0.6923279453096854
14,9,0.8287117086578764
14,15,0.8098143694509271
14,18,0.6073663644633023
15,9,0.7428052549996885
15,14,0.8098143694509271
15,21,0.7540384751166773
16,10,0.6852159989924685
16,11,0.8673588453386383
16,13,0.7018660454328726
16,18,0.8346914778646151
16,19,0.7512573624447542
16,20,0.8067760927453028
17,8,0.676277256473681
17,12,0.7749544886469559
17,13,0.8717127694412842
17,19,0.7800518813435473
18,6,0.479212096150953
18,10,0.8154443842175645
18,14,0.6073663644633023
18,16,0.8346914778646151
18,21,0.9317314234233945
19,13,0.7315644233792127
19,16,0.7512573624447542
19,17,0.7800518813435473
19,20,0.9363511316599884
20,16,0.8067760927453028
20,19,0.9363511316599884
20,21,0.8394570207692074
20,22,0.8269047399420919
21,15,0.7540384751166773
21,18,0.9317314234233945
21,20,0.8394570207692074
21,22,0.5615460353154194
22,20,0.8269047399420919
22,21,0.5615460353154194
