thresold length_gain area_gain alpha budget solver time total_eca massifs_eca parcs_eca massifs_parcs_eca
3000.000 30.000 0.000 500.000 5.000 bogo_draws=0_log=0 0 6141.612 5553.873 441.924 145.816
3000.000 30.000 0.000 500.000 5.000 naive_eca_inc_log=0_parallel=1 179 6141.621 5553.877 441.924 145.821
3000.000 30.000 0.000 500.000 5.000 naive_eca_dec_log=0_parallel=1 180 6141.621 5553.877 441.924 145.821
3000.000 30.000 0.000 500.000 5.000 glutton_eca_inc_log=0_parallel=1 1029 6141.621 5553.877 441.924 145.821
3000.000 30.000 0.000 500.000 5.000 glutton_eca_dec_log=0_parallel=1 10055 6141.621 5553.877 441.924 145.821
3000.000 30.000 0.000 500.000 5.000 randomized_rounding_draws=10000_log=0_parallel=1 15939 6141.621 5553.877 441.924 145.821
3000.000 30.000 0.000 500.000 10.000 bogo_draws=0_log=0 0 6141.613 5553.873 441.924 145.816
3000.000 30.000 0.000 500.000 10.000 naive_eca_inc_log=0_parallel=1 181 6141.622 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 10.000 naive_eca_dec_log=0_parallel=1 180 6141.622 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 10.000 glutton_eca_inc_log=0_parallel=1 1864 6141.622 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 10.000 glutton_eca_dec_log=0_parallel=1 9883 6141.622 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 10.000 randomized_rounding_draws=10000_log=0_parallel=1 16057 6141.622 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 15.000 bogo_draws=0_log=0 0 6141.613 5553.873 441.924 145.816
3000.000 30.000 0.000 500.000 15.000 naive_eca_inc_log=0_parallel=1 178 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 15.000 naive_eca_dec_log=0_parallel=1 178 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 15.000 glutton_eca_inc_log=0_parallel=1 2645 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 15.000 glutton_eca_dec_log=0_parallel=1 9571 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 15.000 randomized_rounding_draws=10000_log=0_parallel=1 15986 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 20.000 bogo_draws=0_log=0 0 6141.613 5553.873 441.924 145.816
3000.000 30.000 0.000 500.000 20.000 naive_eca_inc_log=0_parallel=1 178 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 20.000 naive_eca_dec_log=0_parallel=1 182 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 20.000 glutton_eca_inc_log=0_parallel=1 3378 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 20.000 glutton_eca_dec_log=0_parallel=1 9330 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 20.000 randomized_rounding_draws=10000_log=0_parallel=1 15956 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 25.000 bogo_draws=0_log=0 0 6141.613 5553.873 441.924 145.816
3000.000 30.000 0.000 500.000 25.000 naive_eca_inc_log=0_parallel=1 181 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 25.000 naive_eca_dec_log=0_parallel=1 177 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 25.000 glutton_eca_inc_log=0_parallel=1 4117 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 25.000 glutton_eca_dec_log=0_parallel=1 9038 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 25.000 randomized_rounding_draws=10000_log=0_parallel=1 16009 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 30.000 bogo_draws=0_log=0 0 6141.613 5553.873 441.924 145.817
3000.000 30.000 0.000 500.000 30.000 naive_eca_inc_log=0_parallel=1 182 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 30.000 naive_eca_dec_log=0_parallel=1 180 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 30.000 glutton_eca_inc_log=0_parallel=1 4807 6141.623 5553.877 441.924 145.822
3000.000 30.000 0.000 500.000 30.000 glutton_eca_dec_log=0_parallel=1 8744 6141.623 5553.877 441.924 145.822
