thresold length_gain alpha total_eca_restored total_eca massifs_eca_restored massifs_eca parcs_eca_restored parcs_eca massifs_eca parcs_eca_restored parcs_eca friches_eca_restored friches_eca between_massifs_parcs_eca_restored between_massifs_parcs_eca
3000 30 1000 238943 237500 230722 229543 798.532 789.958 229543 798.532 789.958 34.0066 32.4952 4502.88 4352.67
3000 30 1200 283187 281163 271159 269522 983.715 971.852 269522 983.715 971.852 44.5083 42.6603 6997.04 6760.13
3000 30 1400 328874 326203 312385 310240 1182.39 1167.23 310240 1182.39 1167.23 55.819 53.6324 10016.3 9678.88
3000 30 1600 375639 372260 354116 351413 1389.15 1370.79 351413 1389.15 1370.79 67.7648 65.2429 13505.4 13057.4
3000 30 1800 423271 419131 396222 392915 1599.86 1578.51 392915 1599.86 1578.51 80.1913 77.3426 17404.7 16839.9
3000 30 2000 471635 466688 438646 434692 1811.42 1787.31 434692 1811.42 1787.31 92.9632 89.7999 21655.1 20969.8
3000 30 2200 520627 514836 481356 476718 2021.54 1994.94 476718 2021.54 1994.94 105.963 102.5 26199.3 25392.8
3000 30 2400 570152 563490 524324 518973 2228.57 2199.73 518973 2228.57 2199.73 119.089 115.345 30983.8 30057.2
3000 30 2600 620116 612565 567516 561429 2431.33 2400.5 561429 2431.33 2400.5 132.257 128.249 35959.3 34915.6
3000 30 2800 670421 661972 610888 604052 2628.99 2596.43 604052 2628.99 2596.43 145.395 141.144 41081.3 39924.6
3000 30 3000 720965 711619 654388 646796 2821.04 2786.95 646796 2821.04 2786.95 158.445 153.969 46310.1 45045.4
3000 40 1000 239737 237500 231387 229543 803.294 789.958 229543 803.294 789.958 34.6476 32.4952 4581.31 4352.67
3000 40 1200 284275 281163 272056 269522 990.176 971.852 269522 990.176 971.852 45.3005 42.6603 7118.88 6760.13
3000 40 1400 330284 326203 313537 310240 1190.52 1167.23 310240 1190.52 1167.23 56.7637 53.6324 10187.9 9678.88
3000 40 1600 377396 372260 355542 351413 1398.86 1370.79 351413 1398.86 1370.79 68.8604 65.2429 13731.1 13057.4
3000 40 1800 425398 419131 397943 392915 1611.03 1578.51 392915 1611.03 1578.51 81.4343 77.3426 17687.3 16839.9
3000 40 2000 474151 466688 440680 434692 1823.92 1787.31 434692 1823.92 1787.31 94.3479 89.7999 21995.8 20969.8
3000 40 2200 523548 514836 483718 476718 2035.25 1994.94 476718 2035.25 1994.94 107.482 102.5 26598.2 25392.8
3000 40 2400 573489 563490 527026 518973 2243.34 2199.73 518973 2243.34 2199.73 120.735 115.345 31440.1 30057.2
3000 40 2600 623876 612565 570568 561429 2447.03 2400.5 561429 2447.03 2400.5 134.021 128.249 36471.5 34915.6
3000 40 2800 674605 661972 614296 604052 2645.52 2596.43 604052 2645.52 2596.43 147.269 141.144 41647.1 39924.6
3000 40 3000 725573 711619 658152 646796 2838.28 2786.95 646796 2838.28 2786.95 160.421 153.969 46926.9 45045.4
3000 50 1000 240655 237500 232157 229543 808.704 789.958 229543 808.704 789.958 35.346 32.4952 4672.19 4352.67
3000 50 1200 285527 281163 273092 269522 997.487 971.852 269522 997.487 971.852 46.1651 42.6603 7259.02 6760.13
3000 50 1400 331902 326203 314862 310240 1199.69 1167.23 310240 1199.69 1167.23 57.7959 53.6324 10384.3 9678.88
3000 50 1600 379407 372260 357179 351413 1409.78 1370.79 351413 1409.78 1370.79 70.0586 65.2429 13988.4 13057.4
3000 50 1800 427827 419131 399913 392915 1623.56 1578.51 392915 1623.56 1578.51 82.7942 77.3426 18008.5 16839.9
3000 50 2000 477019 466688 443003 434692 1837.92 1787.31 434692 1837.92 1787.31 95.8631 89.7999 22382.1 20969.8
3000 50 2200 526870 514836 486411 476718 2050.56 1994.94 476718 2050.56 1994.94 109.145 102.5 27049.7 25392.8
3000 50 2400 577278 563490 530102 518973 2259.82 2199.73 518973 2259.82 2199.73 122.537 115.345 31955.6 30057.2
3000 50 2600 628138 612565 574037 561429 2464.53 2400.5 561429 2464.53 2400.5 135.953 128.249 37049.1 34915.6
3000 50 2800 679342 661972 618161 604052 2663.91 2596.43 604052 2663.91 2596.43 149.32 141.144 42284.3 39924.6
3000 50 3000 730782 711619 662416 646796 2857.43 2786.95 646796 2857.43 2786.95 162.581 153.969 47620.8 45045.4
3000 60 1000 241740 237500 233076 229543 814.655 789.958 229543 814.655 789.958 36.1037 32.4952 4775.13 4352.67
