thresold length_gain alpha total_eca_restored total_eca massifs_eca_restored massifs_eca parcs_eca_restored parcs_eca massifs_eca parcs_eca_restored parcs_eca friches_eca_restored friches_eca between_massifs_parcs_eca_restored between_massifs_parcs_eca
6000 30 500 141162 140817 139184 138898 444.003 442.146 138898 444.003 442.146 12.6838 11.971 756.879 737.006
6000 30 750 186893 186093 182399 181734 597.033 592.379 181734 597.033 592.379 22.33 21.2348 2187.22 2122.09
6000 30 1000 239342 237967 231108 229986 799.38 791.206 229986 799.38 791.206 34.0362 32.5463 4510.48 4368.32
6000 30 1250 295369 293323 282250 280603 1034.13 1022.18 280603 1034.13 1022.18 47.3319 45.4418 7725.11 7480.45
6000 30 1500 353647 350847 334640 332405 1287.95 1272.3 332405 1287.95 1272.3 61.8337 59.5468 11748.2 11383.3
6000 30 1750 413537 409912 387801 384915 1551.1 1531.98 384915 1551.1 1531.98 77.2131 74.5411 16468.2 15972.2
6000 30 2000 474684 470171 441530 437939 1816.71 1794.48 437939 1816.71 1794.48 93.1886 90.1501 21767.7 21135.5
6000 30 2250 536842 531394 495728 491383 2080.08 2055.09 491383 2080.08 2055.09 109.523 106.142 27532.9 26763.8
6000 30 2500 599798 593384 550315 545180 2338.03 2310.65 545180 2338.03 2310.65 126.021 122.324 33657.9 32754.9
6000 30 2750 663346 655951 605200 599252 2588.53 2559.11 599252 2588.53 2559.11 142.525 138.541 40048 39016.6
6000 30 3000 727277 718900 660274 653503 2830.34 2799.19 653503 2830.34 2799.19 158.911 154.667 46620.7 45468
6000 30 3250 791381 782036 715413 707822 3062.76 3030.18 707822 3062.76 3030.18 175.082 170.607 53305.3 52039.7
6000 30 3500 855457 845167 770486 762088 3285.5 3251.73 762088 3285.5 3251.73 190.966 186.286 60043 58673.2
6000 30 3750 919312 908112 825360 816176 3498.53 3463.8 816176 3498.53 3463.8 206.508 201.648 66785.2 65320.2
6000 30 4000 982772 970702 879906 869964 3702 3666.5 869964 3702 3666.5 221.671 216.654 73492.8 71941.3
5900 30 500 141162 140817 139184 138898 444.003 442.146 138898 444.003 442.146 12.6838 11.971 756.879 737.006
5900 30 750 186893 186093 182399 181734 597.033 592.379 181734 597.033 592.379 22.33 21.2348 2187.22 2122.09
5900 30 1000 239342 237967 231108 229986 799.38 791.204 229986 799.38 791.204 34.0362 32.5462 4510.48 4368.31
5900 30 1250 295369 293323 282250 280602 1034.13 1022.18 280602 1034.13 1022.18 47.3318 45.4416 7725.11 7480.42
5900 30 1500 353646 350847 334640 332404 1287.95 1272.29 332404 1287.95 1272.29 61.8336 59.5465 11748.2 11383.2
5900 30 1750 413536 409910 387799 384914 1551.1 1531.97 384914 1551.1 1531.97 77.213 74.5405 16468.2 15972.1
5900 30 2000 474682 470168 441528 437936 1816.71 1794.46 437936 1816.71 1794.46 93.1883 90.1493 21767.7 21135.4
5900 30 2250 536838 531389 495725 491379 2080.08 2055.06 491379 2080.08 2055.06 109.523 106.141 27532.8 26763.6
5900 30 2500 599792 593377 550310 545174 2338.03 2310.62 545174 2338.03 2310.62 126.021 122.323 33657.9 32754.6
5900 30 2750 663338 655941 605193 599244 2588.53 2559.08 599244 2588.53 2559.08 142.525 138.539 40048 39016.2
5900 30 3000 727267 718888 660265 653493 2830.33 2799.15 653493 2830.33 2799.15 158.91 154.665 46620.6 45467.6
5900 30 3250 791369 782021 715402 707809 3062.75 3030.13 707809 3062.75 3030.13 175.081 170.605 53305.2 52039.1
5900 30 3500 855443 845150 770473 762072 3285.49 3251.69 762072 3285.49 3251.69 190.965 186.283 60042.9 58672.6
5900 30 3750 919296 908092 825344 816157 3498.53 3463.75 816157 3498.53 3463.75 206.507 201.645 66785.2 65319.5
5900 30 4000 982754 970679 879888 869944 3702 3666.45 869944 3702 3666.45 221.67 216.651 73492.8 71940.6
5800 30 500 141162 140817 139184 138898 444.003 442.146 138898 444.003 442.146 12.6838 11.971 756.879 737.006
5800 30 750 186893 186092 182399 181734 597.033 592.379 181734 597.033 592.379 22.33 21.2348 2187.21 2122.08
5800 30 1000 239342 237966 231108 229986 799.38 791.203 229986 799.38 791.203 34.0362 32.5461 4510.41 4368.25
5800 30 1250 295369 293322 282250 280601 1034.13 1022.18 280601 1034.13 1022.18 47.3318 45.4414 7724.88 7480.21
5800 30 1500 353646 350844 334640 332402 1287.94 1272.28 332402 1287.94 1272.28 61.8334 59.5459 11747.7 11382.8
5800 30 1750 413535 409906 387799 384911 1551.09 1531.96 384911 1551.09 1531.96 77.2127 74.5396 16467.4 15971.3
