budget solver time cost total_eca 
0.000000 bogo_seed=99 0.000000 0.000000 7.000200 
0.000000 naive_eca_inc_log=0_parallel=1 2 0.000000 7.000200 
0.000000 naive_eca_dec_log=0_parallel=1 1 0.000000 7.000200 
0.000000 glutton_eca_inc_log=0_parallel=1 0 0.000000 7.000200 
0.000000 glutton_eca_dec_log=0_parallel=1 6 0.000000 7.000200 
0.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 25 0.000000 7.000200 
0.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 0.000000 7.000200 
1.000000 bogo_seed=99 0.000000 1.000000 7.000218 
1.000000 naive_eca_inc_log=0_parallel=1 0 1.000000 7.000400 
1.000000 naive_eca_dec_log=0_parallel=1 0 1.000000 7.000400 
1.000000 glutton_eca_inc_log=0_parallel=1 0 1.000000 7.000400 
1.000000 glutton_eca_dec_log=0_parallel=1 0 1.000000 7.000400 
1.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 4 1.000000 7.000400 
1.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 1.000000 7.000200 
2.000000 bogo_seed=99 0.000000 2.000000 7.040242 
2.000000 naive_eca_inc_log=0_parallel=1 0 2.000000 7.000600 
2.000000 naive_eca_dec_log=0_parallel=1 0 2.000000 7.000600 
2.000000 glutton_eca_inc_log=0_parallel=1 0 2.000000 7.000600 
2.000000 glutton_eca_dec_log=0_parallel=1 0 2.000000 7.000600 
2.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 18 2.000000 9.000200 
2.000000 randomized_rounding_draws=1000_log=0_parallel=1 4 2.000000 9.000200 
3.000000 bogo_seed=99 0.000000 3.000000 7.140266 
3.000000 naive_eca_inc_log=0_parallel=1 0 3.000000 7.000800 
3.000000 naive_eca_dec_log=0_parallel=1 0 3.000000 7.000800 
3.000000 glutton_eca_inc_log=0_parallel=1 0 3.000000 7.000800 
3.000000 glutton_eca_dec_log=0_parallel=1 0 3.000000 7.000800 
3.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 95 3.000000 9.000600 
3.000000 randomized_rounding_draws=1000_log=0_parallel=1 7 3.000000 9.000200 
4.000000 bogo_seed=99 0.000000 4.000000 7.340294 
4.000000 naive_eca_inc_log=0_parallel=1 0 4.000000 7.001000 
4.000000 naive_eca_dec_log=0_parallel=1 0 4.000000 7.001000 
4.000000 glutton_eca_inc_log=0_parallel=1 0 4.000000 7.001000 
4.000000 glutton_eca_dec_log=0_parallel=1 0 4.000000 7.001000 
4.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 49 4.000000 13.000200 
4.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 4.000000 13.000200 
5.000000 bogo_seed=99 0.000000 5.000000 7.660338 
5.000000 naive_eca_inc_log=0_parallel=1 0 5.000000 7.001200 
5.000000 naive_eca_dec_log=0_parallel=1 0 5.000000 7.001200 
5.000000 glutton_eca_inc_log=0_parallel=1 0 5.000000 7.001200 
5.000000 glutton_eca_dec_log=0_parallel=1 0 5.000000 7.001200 
5.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 101 5.000000 13.000800 
5.000000 randomized_rounding_draws=1000_log=0_parallel=1 4 5.000000 13.000200 
6.000000 bogo_seed=99 0.000000 6.000000 7.960370 
6.000000 naive_eca_inc_log=0_parallel=1 0 6.000000 7.001400 
6.000000 naive_eca_dec_log=0_parallel=1 0 6.000000 7.001400 
6.000000 glutton_eca_inc_log=0_parallel=1 0 6.000000 7.001401 
6.000000 glutton_eca_dec_log=0_parallel=1 0 6.000000 7.001401 
6.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 71 6.000000 19.000200 
6.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 6.000000 19.000200 
7.000000 bogo_seed=99 0.000000 7.000000 8.300408 
7.000000 naive_eca_inc_log=0_parallel=1 0 7.000000 7.001600 
7.000000 naive_eca_dec_log=0_parallel=1 0 7.000000 7.001601 
7.000000 glutton_eca_inc_log=0_parallel=1 0 7.000000 7.001601 
7.000000 glutton_eca_dec_log=0_parallel=1 0 7.000000 7.001601 
7.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 101 7.000000 19.001000 
7.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 7.000000 19.000200 
8.000000 bogo_seed=99 0.000000 8.000000 8.860496 
8.000000 naive_eca_inc_log=0_parallel=1 0 8.000000 7.001801 
8.000000 naive_eca_dec_log=0_parallel=1 0 8.000000 7.001801 
8.000000 glutton_eca_inc_log=0_parallel=1 0 8.000000 7.001801 
8.000000 glutton_eca_dec_log=0_parallel=1 0 8.000000 7.001801 
8.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 20 8.000000 27.000200 
8.000000 randomized_rounding_draws=1000_log=0_parallel=1 4 8.000000 27.000200 
9.000000 bogo_seed=99 0.000000 9.000000 9.120630 
9.000000 naive_eca_inc_log=0_parallel=1 0 9.000000 7.002001 
9.000000 naive_eca_dec_log=0_parallel=1 0 9.000000 7.002001 
9.000000 glutton_eca_inc_log=0_parallel=1 0 9.000000 7.002001 
9.000000 glutton_eca_dec_log=0_parallel=1 0 9.000000 7.002001 
9.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 43 9.000000 27.001200 
9.000000 randomized_rounding_draws=1000_log=0_parallel=1 4 9.000000 27.000200 
10.000000 bogo_seed=99 0.000000 10.000000 9.940778 
10.000000 naive_eca_inc_log=0_parallel=1 0 10.000000 9.004001 
10.000000 naive_eca_dec_log=0_parallel=1 0 10.000000 9.004001 
10.000000 glutton_eca_inc_log=0_parallel=1 0 10.000000 9.004001 
10.000000 glutton_eca_dec_log=0_parallel=1 0 10.000000 9.004001 
10.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 6 10.000000 37.000200 
10.000000 randomized_rounding_draws=1000_log=0_parallel=1 4 10.000000 37.000200 
11.000000 bogo_seed=99 0.000000 11.000000 11.440976 
11.000000 naive_eca_inc_log=0_parallel=1 0 11.000000 9.004001 
11.000000 naive_eca_dec_log=0_parallel=1 0 11.000000 9.004001 
11.000000 glutton_eca_inc_log=0_parallel=1 0 11.000000 9.004001 
11.000000 glutton_eca_dec_log=0_parallel=1 0 11.000000 9.004001 
11.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 11 11.000000 37.001400 
11.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 11.000000 37.001400 
12.000000 bogo_seed=99 0.000000 12.000000 12.681156 
12.000000 naive_eca_inc_log=0_parallel=1 0 12.000000 13.006001 
