budget solver time cost total_eca 
0.000000 bogo_seed=99 0.000000 0.000000 7.000200 
0.000000 naive_eca_inc_log=0_parallel=1 1 0.000000 7.000200 
0.000000 naive_eca_dec_log=0_parallel=1 0 0.000000 7.000200 
0.000000 glutton_eca_inc_log=0_parallel=1 0 0.000000 7.000200 
0.000000 glutton_eca_dec_log=0_parallel=1 0 0.000000 7.000200 
0.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 27 0.000000 7.000200 
0.000000 randomized_rounding_draws=1000_log=0_parallel=1 15 0.000000 7.000200 
1.000000 bogo_seed=99 0.000000 1.000000 8.020200 
1.000000 naive_eca_inc_log=0_parallel=1 0 1.000000 9.000200 
1.000000 naive_eca_dec_log=0_parallel=1 0 1.000000 7.000200 
1.000000 glutton_eca_inc_log=0_parallel=1 0 1.000000 9.000200 
1.000000 glutton_eca_dec_log=0_parallel=1 0 1.000000 7.000200 
1.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 4 1.000000 9.000200 
1.000000 randomized_rounding_draws=1000_log=0_parallel=1 4 1.000000 9.000200 
2.000000 bogo_seed=99 0.000000 2.000000 9.440200 
2.000000 naive_eca_inc_log=0_parallel=1 0 2.000000 13.000200 
2.000000 naive_eca_dec_log=0_parallel=1 0 2.000000 7.000200 
2.000000 glutton_eca_inc_log=0_parallel=1 0 2.000000 13.000200 
2.000000 glutton_eca_dec_log=0_parallel=1 0 2.000000 7.000200 
2.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 6 2.000000 13.000200 
2.000000 randomized_rounding_draws=1000_log=0_parallel=1 4 2.000000 13.000200 
3.000000 bogo_seed=99 0.000000 3.000000 11.380200 
3.000000 naive_eca_inc_log=0_parallel=1 0 3.000000 19.000200 
3.000000 naive_eca_dec_log=0_parallel=1 0 3.000000 7.000200 
3.000000 glutton_eca_inc_log=0_parallel=1 0 3.000000 19.000200 
3.000000 glutton_eca_dec_log=0_parallel=1 0 3.000000 7.000200 
