budget solver time cost total_eca 
0.000000 bogo_seed=99 0.000000 0.000000 5.000000 
0.000000 naive_eca_inc_log=0_parallel=1 2 0.000000 5.000000 
0.000000 naive_eca_dec_log=0_parallel=1 0 0.000000 5.000000 
0.000000 glutton_eca_inc_log=0_parallel=1 0 0.000000 5.000000 
0.000000 glutton_eca_dec_log=0_parallel=1 2 0.000000 5.000000 
0.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 33 0.000000 5.000000 
0.000000 randomized_rounding_draws=1000_log=0_parallel=1 17 0.000000 5.000000 
1.000000 bogo_seed=99 0.000000 1.000000 5.000066 
1.000000 naive_eca_inc_log=0_parallel=1 0 1.000000 5.000200 
1.000000 naive_eca_dec_log=0_parallel=1 0 1.000000 5.000000 
1.000000 glutton_eca_inc_log=0_parallel=1 0 1.000000 5.000200 
1.000000 glutton_eca_dec_log=0_parallel=1 0 1.000000 5.000000 
1.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 5 1.000000 5.000200 
1.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 1.000000 5.000000 
2.000000 bogo_seed=99 0.000000 2.000000 5.160134 
2.000000 naive_eca_inc_log=0_parallel=1 0 2.000000 5.000400 
2.000000 naive_eca_dec_log=0_parallel=1 0 2.000000 7.000000 
2.000000 glutton_eca_inc_log=0_parallel=1 0 2.000000 5.000400 
2.000000 glutton_eca_dec_log=0_parallel=1 0 2.000000 7.000000 
2.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 8 2.000000 7.000000 
2.000000 randomized_rounding_draws=1000_log=0_parallel=1 3 2.000000 7.000000 
3.000000 bogo_seed=99 0.000000 3.000000 5.420220 
3.000000 naive_eca_inc_log=0_parallel=1 0 3.000000 5.000600 
3.000000 naive_eca_dec_log=0_parallel=1 0 3.000000 7.000000 
3.000000 glutton_eca_inc_log=0_parallel=1 0 3.000000 5.000600 
3.000000 glutton_eca_dec_log=0_parallel=1 0 3.000000 7.000000 
3.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 11 3.000000 7.000400 
3.000000 randomized_rounding_draws=1000_log=0_parallel=1 2 3.000000 7.000000 
4.000000 bogo_seed=99 0.000000 4.000000 5.760336 
4.000000 naive_eca_inc_log=0_parallel=1 0 4.000000 5.000800 
4.000000 naive_eca_dec_log=0_parallel=1 0 4.000000 11.000000 
4.000000 glutton_eca_inc_log=0_parallel=1 0 4.000000 5.000800 
4.000000 glutton_eca_dec_log=0_parallel=1 0 4.000000 11.000000 
4.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 5 4.000000 11.000000 
4.000000 randomized_rounding_draws=1000_log=0_parallel=1 2 4.000000 11.000000 
5.000000 bogo_seed=99 0.000000 5.000000 6.120468 
5.000000 naive_eca_inc_log=0_parallel=1 0 5.000000 5.000800 
5.000000 naive_eca_dec_log=0_parallel=1 0 5.000000 11.000000 
5.000000 glutton_eca_inc_log=0_parallel=1 0 5.000000 5.000800 
5.000000 glutton_eca_dec_log=0_parallel=1 0 5.000000 11.000000 
5.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 9 5.000000 11.000600 
5.000000 randomized_rounding_draws=1000_log=0_parallel=1 2 5.000000 11.000000 
6.000000 bogo_seed=99 0.000000 6.000000 7.000678 
6.000000 naive_eca_inc_log=0_parallel=1 0 6.000000 7.001600 
6.000000 naive_eca_dec_log=0_parallel=1 0 6.000000 17.000000 
6.000000 glutton_eca_inc_log=0_parallel=1 0 6.000000 7.001600 
6.000000 glutton_eca_dec_log=0_parallel=1 0 6.000000 17.000000 
6.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 5 6.000000 17.000000 
6.000000 randomized_rounding_draws=1000_log=0_parallel=1 2 6.000000 17.000000 
7.000000 bogo_seed=99 0.000000 7.000000 8.440966 
7.000000 naive_eca_inc_log=0_parallel=1 0 7.000000 7.001600 
7.000000 naive_eca_dec_log=0_parallel=1 0 7.000000 17.000000 
7.000000 glutton_eca_inc_log=0_parallel=1 0 7.000000 7.001600 
7.000000 glutton_eca_dec_log=0_parallel=1 0 7.000000 17.000000 
7.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 5 7.000000 17.000800 
7.000000 randomized_rounding_draws=1000_log=0_parallel=1 2 7.000000 17.000000 
8.000000 bogo_seed=99 0.000000 8.000000 10.081370 
