troncon_id,delta_ECA,ratio_delta_cost
2,0.015480,0.000196
3,0.980398,0.014855
4,11.883400,0.152352
9,0.112848,0.008681
10,0.042524,0.003271
12,0.163813,0.003485
13,0.189254,0.003154
15,0.050498,0.005050
18,0.116349,0.002909
20,2.186730,0.043735
21,0.195942,0.002390
22,4.994120,0.033074
27,3.913780,0.024309
28,0.062169,0.002590
29,0.245729,0.003561
31,0.129253,0.004457
33,1.433960,0.010467
35,0.016758,0.000182
37,0.045845,0.001763
38,0.030605,0.000528
39,2.845400,0.118558
40,0.052993,0.001893
42,0.065488,0.001871
47,0.236166,0.009840
48,0.203309,0.012707
49,1.976320,0.123520
50,5.207370,0.226407
51,1.175610,0.048984
52,0.178076,0.009893
59,0.062685,0.001229
65,0.042136,0.001359
67,0.358877,0.021110
68,0.205598,0.009345
70,10.269300,0.410772
71,2.247320,0.086435
73,0.099802,0.004339
74,0.122521,0.002917
75,1.215960,0.015999
76,3.474180,0.096505
77,28.499700,0.581627
84,0.020269,0.001843
86,5.246880,0.083284
87,11.452600,1.272510
88,11.572700,1.052060
89,0.048224,0.001378
90,0.064187,0.003566
92,0.276072,0.008906
93,0.023185,0.000393
94,0.121890,0.002902
97,0.014970,0.000416
115,0.468132,0.042558
116,0.100483,0.004567
117,0.949175,0.036507
123,0.034063,0.001363
131,0.034259,0.000779
132,1.577250,0.038470
134,0.314197,0.014962
135,0.045929,0.001837
136,0.019097,0.001194
137,0.055318,0.001676
139,0.011000,0.000458
142,0.094989,0.003958
144,0.281787,0.005871
146,0.011576,0.000827
147,0.012760,0.000982
150,0.148672,0.008260
151,0.010731,0.000413
153,0.022227,0.001307
156,0.089512,0.005595
160,4.426600,0.184442
169,0.071703,0.001494
179,0.011105,0.000411
184,0.092025,0.003173
185,3.740640,0.110019
186,0.014359,0.001026
187,0.038444,0.002746
188,4.517990,0.086884
191,0.547529,0.042118
192,0.059453,0.003497
193,1.194290,0.108572
194,0.072823,0.005202
197,0.030386,0.002532
200,1.414480,0.074446
201,0.042881,0.001340
203,11.622400,0.298010
208,1.770150,0.055317
210,0.104669,0.003079
211,0.017542,0.000605
213,1.866140,0.021699
216,0.061626,0.000434
222,0.011430,0.000714
223,0.078716,0.004373
224,0.084784,0.006056
225,0.050942,0.003396
227,0.074218,0.002749
228,0.030533,0.001018
235,0.149115,0.010651
236,0.052985,0.004817
237,0.131936,0.002932
238,0.259887,0.018563
239,6.975720,0.697572
240,0.303298,0.020220
260,0.021759,0.001280
272,0.636843,0.024494
279,0.015295,0.001177
280,0.021787,0.000396
283,6.678120,0.208691
284,0.106252,0.006641
287,0.187566,0.006699
288,0.058838,0.001509
290,18.721600,1.248110
292,0.028776,0.001515
293,0.013936,0.000240
294,0.096474,0.002097
297,0.170797,0.010047
300,0.052248,0.001493
303,0.062730,0.001901
304,1.489330,0.114564
305,0.032902,0.001028
306,0.015521,0.001109
307,0.025274,0.000648
310,1.794910,0.112182
312,0.533606,0.008893
313,0.013933,0.000606
315,0.387638,0.038764
316,0.335117,0.018618
320,0.142709,0.006205
330,0.016140,0.000448
331,0.107195,0.003573
332,0.018953,0.001354
334,0.418434,0.019020
344,0.020255,0.000343
346,0.015130,0.000688
348,0.128733,0.006130
360,0.012209,0.000872
363,0.015875,0.000992
364,0.028453,0.000790
366,0.592227,0.019104
367,0.171813,0.003996
370,0.788900,0.049306
371,0.209742,0.008390
372,0.438159,0.010432
376,0.022796,0.002072
382,4.071510,0.076821
383,0.011180,0.000658
385,0.156038,0.006242
391,0.012304,0.000946
392,2.368040,0.197336
393,1.339930,0.036214
395,0.026570,0.001771
396,0.633433,0.057585
398,0.086811,0.004341
399,0.587983,0.018967
406,3.222830,0.107428
409,0.022864,0.001345
410,0.024606,0.000848
414,0.018534,0.000772
416,0.026554,0.000458
422,0.019690,0.000895
424,0.018641,0.000339
428,0.013235,0.000662
439,0.022491,0.000726
440,0.043376,0.002283
441,0.110502,0.005023
442,0.419187,0.005988
451,0.064697,0.001903
453,0.815559,0.031368
457,0.165183,0.009177
465,0.017968,0.001123
466,0.031126,0.001945
469,0.035942,0.002765
470,0.110543,0.006503
474,0.076921,0.005494
475,0.446823,0.015958
479,0.038520,0.002266
480,0.040760,0.002911
490,0.225595,0.008057
519,0.545214,0.015578
524,0.038690,0.000841
