from,to,from_x,from_y,to_x,to_y
194,195,899962.6971,6251047.65,900626.3369,6253112.184
193,195,898360.8419,6249231.89,900626.3369,6253112.184
193,194,898360.8419,6249231.89,899962.6971,6251047.65
192,196,891245.3657,6253164.735,886765.1685,6254353.526
192,193,891245.3657,6253164.735,898360.8419,6249231.89
191,195,902518.0489,6247189.228,900626.3369,6253112.184
191,194,902518.0489,6247189.228,899962.6971,6251047.65
191,193,902518.0489,6247189.228,898360.8419,6249231.89
190,195,903115.7029,6248328.979,900626.3369,6253112.184
190,194,903115.7029,6248328.979,899962.6971,6251047.65
190,193,903115.7029,6248328.979,898360.8419,6249231.89
190,191,903115.7029,6248328.979,902518.0489,6247189.228
189,195,899142.4554,6252598.436,900626.3369,6253112.184
189,194,899142.4554,6252598.436,899962.6971,6251047.65
189,193,899142.4554,6252598.436,898360.8419,6249231.89
189,192,899142.4554,6252598.436,891245.3657,6253164.735
189,191,899142.4554,6252598.436,902518.0489,6247189.228
189,190,899142.4554,6252598.436,903115.7029,6248328.979
188,195,899652.3352,6251059.146,900626.3369,6253112.184
188,194,899652.3352,6251059.146,899962.6971,6251047.65
188,193,899652.3352,6251059.146,898360.8419,6249231.89
188,192,899652.3352,6251059.146,891245.3657,6253164.735
188,191,899652.3352,6251059.146,902518.0489,6247189.228
188,190,899652.3352,6251059.146,903115.7029,6248328.979
188,189,899652.3352,6251059.146,899142.4554,6252598.436
187,193,894884.4415,6241468.28,898360.8419,6249231.89
186,195,901234.2054,6254146.527,900626.3369,6253112.184
186,194,901234.2054,6254146.527,899962.6971,6251047.65
186,193,901234.2054,6254146.527,898360.8419,6249231.89
186,191,901234.2054,6254146.527,902518.0489,6247189.228
186,190,901234.2054,6254146.527,903115.7029,6248328.979
186,189,901234.2054,6254146.527,899142.4554,6252598.436
186,188,901234.2054,6254146.527,899652.3352,6251059.146
185,195,899255.6088,6249530.409,900626.3369,6253112.184
185,194,899255.6088,6249530.409,899962.6971,6251047.65
185,193,899255.6088,6249530.409,898360.8419,6249231.89
185,191,899255.6088,6249530.409,902518.0489,6247189.228
185,190,899255.6088,6249530.409,903115.7029,6248328.979
185,189,899255.6088,6249530.409,899142.4554,6252598.436
185,188,899255.6088,6249530.409,899652.3352,6251059.146
185,186,899255.6088,6249530.409,901234.2054,6254146.527
184,195,896259.7889,6247501.291,900626.3369,6253112.184
184,194,896259.7889,6247501.291,899962.6971,6251047.65
184,193,896259.7889,6247501.291,898360.8419,6249231.89
184,192,896259.7889,6247501.291,891245.3657,6253164.735
184,191,896259.7889,6247501.291,902518.0489,6247189.228
184,190,896259.7889,6247501.291,903115.7029,6248328.979
184,189,896259.7889,6247501.291,899142.4554,6252598.436
184,188,896259.7889,6247501.291,899652.3352,6251059.146
184,187,896259.7889,6247501.291,894884.4415,6241468.28
184,186,896259.7889,6247501.291,901234.2054,6254146.527
184,185,896259.7889,6247501.291,899255.6088,6249530.409
183,187,893999.1711,6241492.247,894884.4415,6241468.28
183,184,893999.1711,6241492.247,896259.7889,6247501.291
182,195,898140.7095,6250264.237,900626.3369,6253112.184
182,194,898140.7095,6250264.237,899962.6971,6251047.65
182,193,898140.7095,6250264.237,898360.8419,6249231.89
182,192,898140.7095,6250264.237,891245.3657,6253164.735
182,191,898140.7095,6250264.237,902518.0489,6247189.228
182,190,898140.7095,6250264.237,903115.7029,6248328.979
182,189,898140.7095,6250264.237,899142.4554,6252598.436
182,188,898140.7095,6250264.237,899652.3352,6251059.146
182,186,898140.7095,6250264.237,901234.2054,6254146.527
182,185,898140.7095,6250264.237,899255.6088,6249530.409
182,184,898140.7095,6250264.237,896259.7889,6247501.291
181,195,896109.477,6249277.96,900626.3369,6253112.184
181,194,896109.477,6249277.96,899962.6971,6251047.65
181,193,896109.477,6249277.96,898360.8419,6249231.89
181,192,896109.477,6249277.96,891245.3657,6253164.735
181,191,896109.477,6249277.96,902518.0489,6247189.228
181,190,896109.477,6249277.96,903115.7029,6248328.979
181,189,896109.477,6249277.96,899142.4554,6252598.436
181,188,896109.477,6249277.96,899652.3352,6251059.146
181,187,896109.477,6249277.96,894884.4415,6241468.28
181,186,896109.477,6249277.96,901234.2054,6254146.527
181,185,896109.477,6249277.96,899255.6088,6249530.409
181,184,896109.477,6249277.96,896259.7889,6247501.291
181,183,896109.477,6249277.96,893999.1711,6241492.247
181,182,896109.477,6249277.96,898140.7095,6250264.237
180,196,894782.8435,6252089.149,886765.1685,6254353.526
180,195,894782.8435,6252089.149,900626.3369,6253112.184
180,194,894782.8435,6252089.149,899962.6971,6251047.65
180,193,894782.8435,6252089.149,898360.8419,6249231.89
180,192,894782.8435,6252089.149,891245.3657,6253164.735
180,189,894782.8435,6252089.149,899142.4554,6252598.436
180,188,894782.8435,6252089.149,899652.3352,6251059.146
180,186,894782.8435,6252089.149,901234.2054,6254146.527
180,185,894782.8435,6252089.149,899255.6088,6249530.409
180,184,894782.8435,6252089.149,896259.7889,6247501.291
180,182,894782.8435,6252089.149,898140.7095,6250264.237
180,181,894782.8435,6252089.149,896109.477,6249277.96
179,196,893572.6591,6250200.509,886765.1685,6254353.526
179,195,893572.6591,6250200.509,900626.3369,6253112.184
179,194,893572.6591,6250200.509,899962.6971,6251047.65
179,193,893572.6591,6250200.509,898360.8419,6249231.89
179,192,893572.6591,6250200.509,891245.3657,6253164.735
179,189,893572.6591,6250200.509,899142.4554,6252598.436
179,188,893572.6591,6250200.509,899652.3352,6251059.146
179,186,893572.6591,6250200.509,901234.2054,6254146.527
179,185,893572.6591,6250200.509,899255.6088,6249530.409
179,184,893572.6591,6250200.509,896259.7889,6247501.291
179,182,893572.6591,6250200.509,898140.7095,6250264.237
179,181,893572.6591,6250200.509,896109.477,6249277.96
179,180,893572.6591,6250200.509,894782.8435,6252089.149
178,196,887648.8491,6254456.912,886765.1685,6254353.526
178,192,887648.8491,6254456.912,891245.3657,6253164.735
178,180,887648.8491,6254456.912,894782.8435,6252089.149
178,179,887648.8491,6254456.912,893572.6591,6250200.509
177,196,893031.9905,6248778.506,886765.1685,6254353.526
177,194,893031.9905,6248778.506,899962.6971,6251047.65
177,193,893031.9905,6248778.506,898360.8419,6249231.89
177,192,893031.9905,6248778.506,891245.3657,6253164.735
177,189,893031.9905,6248778.506,899142.4554,6252598.436
177,188,893031.9905,6248778.506,899652.3352,6251059.146
177,187,893031.9905,6248778.506,894884.4415,6241468.28
177,185,893031.9905,6248778.506,899255.6088,6249530.409
177,184,893031.9905,6248778.506,896259.7889,6247501.291
177,183,893031.9905,6248778.506,893999.1711,6241492.247
177,182,893031.9905,6248778.506,898140.7095,6250264.237
177,181,893031.9905,6248778.506,896109.477,6249277.96
177,180,893031.9905,6248778.506,894782.8435,6252089.149
177,179,893031.9905,6248778.506,893572.6591,6250200.509
177,178,893031.9905,6248778.506,887648.8491,6254456.912
176,194,895189.3055,6244277.833,899962.6971,6251047.65
176,193,895189.3055,6244277.833,898360.8419,6249231.89
176,191,895189.3055,6244277.833,902518.0489,6247189.228
176,188,895189.3055,6244277.833,899652.3352,6251059.146
176,187,895189.3055,6244277.833,894884.4415,6241468.28
176,185,895189.3055,6244277.833,899255.6088,6249530.409
176,184,895189.3055,6244277.833,896259.7889,6247501.291
176,183,895189.3055,6244277.833,893999.1711,6241492.247
176,182,895189.3055,6244277.833,898140.7095,6250264.237
176,181,895189.3055,6244277.833,896109.477,6249277.96
176,180,895189.3055,6244277.833,894782.8435,6252089.149
176,179,895189.3055,6244277.833,893572.6591,6250200.509
176,177,895189.3055,6244277.833,893031.9905,6248778.506
175,195,894474.0396,6248609.383,900626.3369,6253112.184
175,194,894474.0396,6248609.383,899962.6971,6251047.65
175,193,894474.0396,6248609.383,898360.8419,6249231.89
175,192,894474.0396,6248609.383,891245.3657,6253164.735
175,191,894474.0396,6248609.383,902518.0489,6247189.228
175,190,894474.0396,6248609.383,903115.7029,6248328.979
175,189,894474.0396,6248609.383,899142.4554,6252598.436
175,188,894474.0396,6248609.383,899652.3352,6251059.146
175,187,894474.0396,6248609.383,894884.4415,6241468.28
175,185,894474.0396,6248609.383,899255.6088,6249530.409
175,184,894474.0396,6248609.383,896259.7889,6247501.291
175,183,894474.0396,6248609.383,893999.1711,6241492.247
175,182,894474.0396,6248609.383,898140.7095,6250264.237
