id,type,area,x,y
0,massif,10,891794.6546,6239665.557
1,massif,10,892687.3492,6240187.647
2,massif,10,893930.8551,6240331.684
3,massif,10,894780.7413,6240343.169
4,massif,10,895010.4402,6239114.279
5,massif,10,895883.2963,6239872.286
6,massif,10,896296.7545,6238907.55
7,massif,10,896549.4234,6239619.617
8,massif,10,896457.5438,6241135.63
9,massif,10,897511.8621,6241284.934
10,massif,10,897626.7115,6242065.911
11,massif,10,897270.6781,6243145.496
12,massif,10,897844.9256,6244156.172
13,massif,10,898522.5375,6244845.269
14,massif,10,899303.5141,6245476.941
15,massif,10,900619.6892,6245831.826
16,massif,10,902043.8228,6245544.702
17,massif,10,903334.731,6244706.301
18,massif,10,904552.1356,6248898.307
19,massif,10,903173.9418,6250253.531
20,massif,10,902565.2395,6250873.718
21,massif,10,902105.8415,6251505.39
22,massif,10,901864.6576,6252366.761
23,massif,10,902645.6341,6253078.828
24,massif,10,902289.6007,6253963.169
25,massif,10,902324.0556,6255146.119
26,massif,10,901646.4436,6255215.029
27,massif,10,900595.6138,6254531.378
28,massif,10,899280.5442,6254548.902
29,massif,10,897429.1704,6254663.751
30,massif,10,896234.7358,6254123.959
31,massif,10,895026.5192,6253320.012
32,massif,10,894257.0276,6253687.531
33,massif,10,893636.8404,6253457.832
34,massif,10,892809.9241,6253630.106
35,massif,10,892541.1763,6255192.059
36,massif,10,892752.8326,6255968.181
37,massif,10,889486.1799,6255249.484
38,massif,10,888452.5345,6254778.601
39,massif,10,887935.7119,6254675.236
40,massif,10,887522.2537,6255467.697
41,massif,10,886624.1307,6254755.631
42,parc,1,894175.9,6245679.6
43,parc,1,892768.635,6244841.269
44,parc,1,894737.918,6246547.755
45,parc,1,897509.602,6251289.601
46,parc,1,892846.802,6245298.044
47,parc,1,896109.736,6242897.686
48,parc,1,892769.48,6246258.074
49,parc,1,897318.727,6247633.189
50,parc,1,892003.011,6240768.256
51,parc,1,892100.6,6246438.6
52,parc,1,898811.039,6249310.868
53,parc,1,895713.254,6244485.989
54,parc,1,895560.563,6247489.034
55,parc,1,895053.38,6241337.308
56,parc,1,892732.892,6247074.075
57,parc,1,890079.414,6253450.521
58,parc,1,899936.488,6248962.317
59,parc,1,893477.193,6247457.289
60,parc,1,890974.361,6251308.49
61,parc,1,895664.219,6245175.359
62,parc,1,895878.92,6247215.69
63,parc,1,894769.226,6243117.443
64,parc,1,894855.983,6247409.194
65,parc,1,894486.781,6248894.943
66,parc,1,895165.897,6245720.823
67,parc,1,892512.4,6245621.7
68,parc,1,895042.932,6243817.841
69,parc,1,893897.244,6243347.565
70,parc,1,893292.114,6241409.167
71,parc,1,897281.479,6245629.767
72,parc,1,891798.608,6253877.724
73,parc,1,894261.789,6244198.102
74,parc,5,891481.2,6246616
75,parc,5,893485.1986,6243047.434
76,parc,1,898620.7,6247103.47
77,parc,5,894529.7,6248105.3
78,parc,1,898218.726,6251175.439
79,parc,1,891317.5765,6245116.95
80,parc,1,896036.539,6250234.585
81,parc,1,887809.781,6254170.987
82,parc,5,894713.221,6250499.28
83,parc,5,891936.9185,6251109.496
