center percent_arcs nb_vars nb_constraints nb_elems nb_vars_contract nb_constraints_contract nb_elems_contract 
7162 0 1129500 250000 2258500 500 500 5000
7162 5 1185612 306001 2482612 64638 48676 1693985
7162 10 1242225 362501 2708725 138578 102942 36606110
7162 15 1298838 419001 2934838 207220 143455 53927615
7162 20 1355451 475501 3160951 264667 185299 70157720
7162 25 1412064 532001 3387064 352104 247065 95208025
7162 30 1468677 588501 3613177 425912 299667 116481130
7162 35 1525290 645001 3839290 466823 324662 128228435
7162 40 1581903 701501 4065403 534726 367061 148150740
7162 45 1638516 758001 4291516 602334 417813 168282845
7162 50 1695129 814501 4517629 676317 462668 190529550
7162 55 1751241 870501 4741741 744413 507267 210259755
7162 60 1807854 927001 4967854 839247 567045 239388460
7162 65 1864467 983501 5193967 907850 613788 260934965
7162 70 1921080 1040001 5420080 955488 649932 276520470
7162 75 1977693 1096501 5646193 1029178 698688 299240375
7162 80 2034306 1153001 5872306 1124359 759850 329585480
7162 85 2090919 1209501 6098419 1191292 806582 351536985
7162 90 2147532 1266001 6324532 1263902 857129 375182890
7162 95 2204145 1322501 6550645 1329515 900257 396117595
7162 100 2260758 1379001 6776758 1403674 950459 4205506100
4464 0 1085500 250000 2170500 500 500 5000
4464 5 1139608 304001 2386608 79260 54541 1971105
4464 10 1194217 358501 2604717 188916 126799 47949110
4464 15 1248325 412501 2820825 254266 167090 64723915
4464 20 1302934 467001 3038934 348995 227297 89835420
4464 25 1357042 521001 3255042 430407 280687 112913225
